	userId	Top 10 recommendations
167	758	82,83,5952,750,1200,1968,364,3949,1619,541
168	360	83,82,364,610,370,750,1101,5952,223,3
169	861	83,82,364,307,750,1968,471,1200,1246,5952
170	725	1438,83,82,1619,899,1200,750,5952,2571,471
171	855	106,246,213,417,162,1619,58559,83,82,1438
172	246	750,178,50,82,83,1060,471,1438,307,1619
173	346	471,307,1619,802,83,82,1438,1704,2571,337
174	476	83,82,1619,364,2571,58559,6535,5952,802,1270
175	367	74228,38061,96610,48774,83,82,1208,1619,58559,307
176	539	82,83,364,750,1246,74,610,924,1968,2333
177	599	28,1041,74,232,17,26,41,924,230,83
178	111	364,1968,608,2028,750,83,82,1246,199,223
179	224	750,665,924,307,154,83,82,41,1200,608
180	654	2028,171,199,364,608,1,1028,750,41,899
181	519	83,82,364,750,106,1200,1968,223,1246,610
182	47	74,82,83,25,1246,924,1619,1968,2571,2333
183	140	82,83,123,1704,110,1619,1968,1200,5952,750
184	711	1136,750,1286,910,1968,1210,1200,82,83,955
185	416	82,83,364,1246,141,1619,1968,750,5952,1200
186	556	1619,2692,471,802,1704,2571,527,307,82,83
187	177	83,82,364,1619,5952,750,2959,2571,141,356
188	827	154,307,665,1968,82,83,1200,750,471,778
189	671	21,41,1968,112,337,1438,1246,364,1200,171
190	132	364,2028,199,223,1028,608,171,83,82,899
191	152	608,750,199,50,154,2028,307,30,58,471
192	444	1682,1619,356,83,82,170,1721,364,2571,802
193	665	5952,1210,260,1286,3949,608,750,955,82,83
194	882	74,41,1246,83,82,364,1968,21,337,1438
195	353	30,364,199,223,750,1246,608,2028,9,41
196	694	2028,1,199,364,171,1028,608,41,223,1968
197	185	74,83,82,924,364,750,1968,1246,141,2070
198	305	307,471,750,50,83,82,1438,1704,802,1619
199	355	750,364,307,1968,608,83,82,41,1200,223
200	696	83,82,750,364,307,1200,1968,1246,588,223
201	747	83,82,1968,665,364,1246,610,307,750,1200
202	618	83,82,1968,589,80489,364,924,1200,610,750
203	291	82,83,364,1968,750,1619,1200,5952,141,307
204	325	1246,1968,6,83,82,750,337,1200,307,364
205	955	2571,83,82,5952,802,750,471,307,1619,908
206	386	1028,2028,364,171,1653,150,1,1073,1035,199
207	906	83,82,750,364,1438,1246,141,1200,1968,307
208	660	106,246,1438,307,1246,83,82,1200,1968,364
209	581	750,608,364,665,307,83,82,154,2028,1968
210	912	82,83,750,1200,364,1968,1246,307,223,610
211	473	82,83,750,1246,372,788,924,1968,22,364
212	603	1246,1968,1136,1286,1210,750,82,83,446,1200
213	774	5349,2340,3793,2706,2572,1968,2485,1200,82,83
214	435	83,82,364,1246,41,1968,74,1200,750,34
215	935	83,82,750,610,364,1246,74,1968,924,223
216	748	665,307,750,83,82,471,924,608,154,1200
217	704	83,82,1619,2571,802,471,1704,307,5952,1438
218	146	364,1566,446,2959,82,83,3988,4700,4447,1257
219	512	665,750,924,83,82,73,307,364,610,608
220	797	58559,17,74,364,82,83,908,1619,2571,28
221	259	750,364,1968,608,82,83,1200,41,665,899
222	1	154,665,307,296,778,371,1017,1968,471,1200
223	206	82,83,364,750,610,1246,1653,223,1968,150
224	896	364,1246,1968,83,82,223,750,307,2028,608
225	770	29,665,154,307,750,608,924,372,1200,296
226	52	1246,1968,83,82,1200,364,610,750,471,1438
227	363	123,82,83,110,5952,1968,1200,3949,1704,750
228	297	364,750,1968,608,1246,41,82,83,2028,899
229	777	1619,83,82,5952,2571,364,750,58559,802,899
230	768	750,608,364,1200,307,1968,82,83,41,1246
231	212	428,82,83,1246,1968,58559,233,223,364,337
232	992	83,82,364,750,1968,223,307,58559,1200,337
233	674	802,318,2571,914,1619,1213,1221,2692,3578,5952
234	715	18,1968,74,665,1246,154,750,307,608,1200
235	631	83,82,123,1246,364,5952,588,1035,1704,110
236	274	307,1438,750,82,83,471,1200,1619,1246,858
237	182	1210,5952,1286,260,608,750,3949,955,910,82
238	442	83,82,364,1035,1653,150,1619,1968,5952,1200
239	792	1286,1210,733,718,260,586,3949,910,2762,5952
240	689	308,407,785,288,307,5349,2333,2070,1079,968
241	699	83,82,1619,524,364,750,141,307,5952,1200
242	280	74,1246,82,83,364,1968,337,223,924,41
243	440	1,2028,199,1028,30,608,223,1246,1240,364
244	13	82,83,364,750,1246,924,1968,41,1200,141
245	734	314,32,665,26,924,154,750,41,1041,29
246	218	83,82,1619,471,5952,1200,2571,1968,307,364
247	348	307,83,82,471,750,1200,1704,1619,1438,1968
248	760	22,788,82,83,750,446,1246,1136,924,910
249	474	83,82,750,1968,364,307,41,924,1200,1246
250	6	5952,2571,733,1619,802,2692,318,914,527,260
251	16	83,82,307,471,1619,802,1438,2571,1704,1221
252	86	171,2028,1,608,199,364,41,1968,1028,1240
253	636	364,1246,171,1653,1079,370,236,2028,30,150
254	572	6,106,1968,337,1246,750,112,246,307,83
255	852	318,914,3578,1265,802,1221,2571,1213,1193,1619
256	205	83,82,364,1246,10,588,610,180,750,223
257	887	471,82,83,307,1619,802,5952,2571,1438,1704
258	168	82,83,750,1246,1968,1200,610,364,141,5952
259	142	6,1246,112,337,471,750,82,83,106,1438
260	972	307,83,82,471,750,1438,1200,1619,372,1704
261	3	307,750,83,82,471,608,1200,154,50,665
262	925	106,246,337,16,83,82,6,1200,750,307
263	178	58559,83,82,1619,5952,541,1200,2571,750,471
264	998	1101,370,3,369,364,82,83,610,1035,105
265	867	2571,802,318,914,1619,82,83,1265,5952,471
266	308	802,471,2571,1221,318,914,1619,307,1213,5952
267	328	82,83,364,750,1968,1653,1246,1200,610,223
268	20	5952,2571,1619,802,471,733,608,1221,307,1210
269	40	750,83,82,307,5952,471,1200,608,1619,2571
270	470	1210,1286,3949,5952,260,1196,910,955,608,83
271	164	337,2003,6535,82,83,1968,1200,1619,471,307
272	429	1619,2692,527,471,802,2571,58559,1438,1704,914
273	839	2028,236,1028,364,592,1,2070,2333,199,83
274	500	1208,912,910,608,58559,337,83,82,750,908
275	169	83,82,364,1968,750,1200,1619,141,610,5952
276	283	6535,6373,1270,1619,83,82,58559,2571,337,364
277	139	74,82,83,106,307,1968,246,364,1619,750
278	359	2028,1,608,1246,364,1968,199,1028,750,154
279	479	106,246,364,82,83,1246,2124,858,223,58559
280	340	17,364,28,74,223,82,83,199,58559,337
281	980	1246,82,83,858,364,193,1968,58559,1619,1566
282	431	1101,3,369,370,337,364,610,1246,750,223
283	881	83,82,364,1968,750,471,1619,1200,337,307
284	692	82,83,364,924,141,2070,2333,1438,750,524
285	295	83,82,337,588,364,1619,1968,58559,1200,750
286	250	83,82,364,1653,1246,223,588,150,750,1968
287	402	364,750,83,82,608,899,1968,5952,1200,1246
288	432	5952,2571,1619,802,471,608,733,83,82,899
289	582	364,2028,608,199,1968,750,1246,83,82,223
290	94	750,665,924,83,82,41,1200,307,1968,364
291	377	123,110,1704,82,83,1619,5952,1968,293,802
292	570	17,58559,28,364,908,337,223,83,82,750
293	920	83,82,364,1035,1653,150,1619,5952,610,750
294	57	750,608,1200,665,307,82,83,364,1968,41
295	868	154,307,1968,372,665,750,41,1438,1200,296
296	966	82,83,364,1653,750,1968,1035,150,1200,5952
297	647	41,665,924,750,1968,154,32,1200,364,29
298	292	307,50,471,154,750,665,1438,608,953,1200
299	923	83,82,1619,471,2571,802,5952,307,1704,750
300	983	106,246,16,74,307,82,83,1968,1200,750
301	944	665,924,750,41,32,154,307,83,82,608
302	306	82,83,307,1704,471,750,106,1619,1438,364
303	676	364,82,83,1653,1035,150,750,608,11,5952
304	339	1968,480,500,74,154,665,1080,608,83,82
305	919	171,154,41,665,307,16,32,924,750,29
306	120	364,1968,750,608,41,1246,899,199,82,83
307	54	337,83,82,364,171,74,1619,924,1968,750
308	559	83,82,1246,337,364,1968,41,750,1200,223
309	969	364,2028,199,171,82,83,223,1968,41,750
310	491	307,750,1200,1438,47,1136,608,1968,154,372
311	634	171,74,337,1041,83,82,41,364,101,924
312	646	154,307,665,1968,296,471,1200,82,83,750
313	620	82,83,364,750,1246,1968,924,1200,610,74
314	871	74,82,83,1968,307,364,106,1246,471,924
315	235	202,253,364,41,171,39,199,236,223,1968
316	545	41,1041,750,924,82,83,1246,1968,364,1438
317	96	2028,1,1028,199,364,236,1073,592,171,2070
318	776	82,83,307,1968,1246,750,1200,364,471,372
319	846	106,1968,307,246,82,83,750,1200,1246,665
320	840	6,1968,41,74,154,112,471,1246,337,307
321	452	83,82,1246,364,1968,858,1619,58559,610,1200
322	732	2028,1,1028,199,1240,364,608,171,236,592
323	650	5952,3949,1210,83,82,1286,750,260,1196,608
324	544	955,215,1200,608,1968,750,1136,83,82,910
325	266	5952,1619,83,82,2571,471,750,307,1200,608
326	507	288,407,785,2070,2333,968,474,5349,140,307
327	48	16,6,106,154,246,307,471,345,1968,112
328	191	68791,1246,1968,82,83,6535,1200,5952,123,364
329	163	82,83,364,1200,1619,750,1968,5952,1246,2571
330	5	924,750,74,314,36,262,83,82,2333,2070
331	268	41,1246,1438,750,1968,372,471,1200,74,924
332	258	2333,2070,83,82,968,924,364,750,141,524
333	279	74,595,471,1246,307,908,372,82,83,58559
334	709	83,82,364,74,1246,610,1968,1035,223,106
335	959	74,1246,1968,82,83,924,41,750,364,1200
336	729	1438,307,750,1200,1136,82,83,1968,471,608
337	430	171,1041,29,14,74,41,337,30,17,471
338	754	82,83,41,750,364,1968,1200,1246,307,1438
339	397	307,1438,471,1200,82,83,750,1619,1704,802
340	19	123,82,83,1619,1968,1246,364,5952,1200,1704
341	989	82,83,1619,307,471,750,802,1438,364,2571
342	560	1210,1286,260,5952,3949,608,1136,750,955,1196
343	92	750,471,154,1704,307,665,82,83,1200,1968
344	542	307,1438,750,50,1200,471,154,47,372,953
345	553	364,82,83,750,1968,1246,2028,899,223,1200
346	836	2028,1028,171,364,236,1,199,2070,2333,1073
347	419	1059,750,364,912,5952,1127,1619,83,82,608
348	780	154,307,665,296,371,778,1017,471,1968,224
349	415	802,318,471,2571,914,1619,1221,1438,307,82
350	641	1438,83,82,41,1246,364,372,1200,1968,750
351	644	364,82,83,750,1968,223,1246,2028,1200,588
352	826	1968,215,750,83,82,1200,307,608,1438,364
353	257	307,750,1438,364,82,83,1200,608,106,1619
354	299	154,471,307,342,665,924,1968,74,337,1246
355	64	5952,2571,608,1619,802,899,750,83,82,471
356	117	364,83,82,307,372,471,223,750,908,595
357	227	364,83,82,1653,150,750,2028,608,1968,223
358	579	750,82,83,307,471,1968,364,1200,1246,141
359	504	83,82,589,1968,80489,924,364,76,610,1200
360	554	288,407,785,2333,2070,968,474,58559,82,83
361	764	307,1200,1968,1438,750,1246,83,82,372,665
362	886	82,83,1968,106,307,1200,364,750,246,1619
363	936	2329,1682,318,914,3578,1213,356,802,1721,1961
364	598	1060,50,953,307,471,178,154,1438,1704,1221
365	41	1246,82,83,1968,364,41,74,750,337,1200
366	931	161,10,180,588,82,83,1246,471,610,1968
367	154	1286,1210,910,260,2762,3949,608,5952,1136,955
368	904	750,608,41,364,307,1200,1968,82,83,199
369	425	1619,802,914,2571,318,471,82,83,1221,1193
370	309	171,101,7,83,82,364,74,858,41,1619
371	484	364,83,82,1619,2028,370,610,899,2333,2070
372	455	82,83,364,750,610,1619,5952,141,1200,1968
373	347	1653,1035,83,82,150,135,364,1246,1265,6535
374	447	364,82,83,2028,223,750,199,608,899,1968
375	607	1041,171,41,2028,199,1,608,253,364,1028
376	43	2028,364,199,1,1028,608,171,750,41,236
377	15	82,83,364,750,1619,1968,1200,5952,541,141
378	845	608,28,1210,750,260,1041,899,364,912,955
379	511	1041,1208,912,41,750,1438,111,903,337,215
380	262	50,307,471,665,1060,750,83,82,953,924
381	929	82,83,1619,364,750,337,1438,899,912,307
382	112	1041,41,1246,171,14,364,82,83,28,17
383	269	1035,83,82,364,1653,150,1619,750,1200,1968
384	563	524,83,82,1689,1208,924,74,337,307,1619
385	615	1197,3578,1213,1265,318,914,802,2571,1221,1193
386	327	82,83,471,750,307,5952,1200,1619,2571,1438
387	849	1210,750,1286,260,608,1136,955,5952,3949,364
388	165	750,364,608,83,82,1968,41,471,1200,337
389	775	750,307,608,364,82,83,1200,471,141,1968
390	666	307,750,82,83,1200,608,471,364,665,141
391	843	307,154,471,665,750,1200,1704,1438,296,83
392	854	364,750,83,82,2028,608,1968,199,899,1246
393	366	83,82,471,1246,307,372,223,141,610,1619
394	358	608,750,1200,364,1968,1246,41,2028,307,199
395	590	1035,1653,82,83,364,150,1619,1968,1246,1097
396	862	1619,802,83,82,914,2571,318,356,1704,471
397	675	83,82,364,1968,1246,750,223,610,588,141
398	207	1438,1619,802,106,471,2571,1704,246,307,2692
399	179	106,74,1968,246,337,16,1246,6,307,83
400	189	665,750,307,154,924,608,83,82,1200,372
401	489	750,1200,1136,608,106,1968,82,83,5952,1210
402	383	74,41,750,83,82,924,1968,364,1041,337
403	37	307,750,83,82,665,1200,471,924,1968,1438
404	659	2333,2070,968,83,82,364,74,924,750,1968
405	61	82,83,364,750,1246,58559,610,372,307,5952
406	461	665,924,307,1438,471,154,1208,82,83,802
407	502	608,364,154,199,750,307,1968,471,41,2028
408	523	750,364,82,83,41,1968,1200,608,223,307
409	316	1619,83,82,1704,802,5952,364,2571,750,356
410	127	750,608,364,41,1200,1968,82,83,307,665
411	937	123,83,82,110,1704,1968,1619,1246,1200,750
412	819	83,82,1619,471,307,802,2571,1438,5952,1704
413	531	1653,1035,150,364,1265,2028,171,1968,1619,1079
414	903	750,82,83,5952,608,955,1200,1210,364,260
415	993	47,1136,307,154,1200,1438,750,106,608,246
416	486	1136,1286,260,1210,586,608,955,910,5952,912
417	197	1060,50,178,953,307,471,1221,1089,1704,802
418	88	1438,82,83,307,1619,471,1200,58559,802,750
419	979	83,82,364,1968,1619,1200,1246,750,5952,141
420	462	83,82,364,1968,1200,750,1246,223,141,307
421	547	1060,50,307,953,471,1221,178,1704,802,2692
422	318	82,83,364,1968,750,1246,1200,223,307,337
423	891	364,2028,82,83,1028,199,608,750,899,236
424	202	665,154,924,32,750,41,314,307,26,778
425	263	82,83,1619,364,2571,307,5952,802,471,750
426	374	106,246,82,83,307,74,364,750,1968,16
427	564	82,83,364,141,1704,2571,5952,588,1619,161
428	107	750,665,924,83,82,307,41,364,608,1200
429	619	750,1200,307,82,83,1968,1438,608,364,1246
430	231	106,74,246,16,94,307,171,58559,364,82
431	552	307,750,665,608,154,1041,41,1200,924,1438
432	17	5055,36086,588,1208,82,83,912,337,345,364
433	9	82,83,364,588,1246,141,610,750,1438,180
434	324	83,82,750,307,1200,364,1438,471,1968,223
435	586	1041,41,1208,924,912,1438,74,337,750,307
436	609	1,2028,1028,171,199,1240,236,608,364,1073
437	72	11,1653,1035,150,364,223,82,83,1079,1968
438	505	1619,83,82,2959,6535,364,1270,2571,4973,356
439	286	54281,54503,54745,60074,58559,82,83,337,1689,364
440	398	82,83,364,1246,750,141,1968,924,1438,610
441	538	337,471,1619,307,83,82,2571,5952,608,802
442	423	357,788,539,106,246,123,1438,83,82,307
443	175	11,1653,171,364,150,1079,1035,223,1968,106
444	695	364,1968,750,1246,41,83,82,223,608,1200
445	746	82,83,123,1035,364,1653,1968,150,5952,1619
446	387	5952,1210,608,750,260,1286,3949,83,82,2571
447	850	920,585,83,82,1968,1246,364,1200,1619,903
448	381	2028,608,364,899,199,750,1,41,171,223
449	721	1210,1286,260,5952,3949,733,1196,910,2762,1136
450	498	83,82,1619,471,2571,364,802,1438,5952,307
451	610	110,1968,262,1246,1200,1704,750,154,83,82
452	880	1257,1291,82,83,364,58559,1233,750,1619,1968
453	761	2571,59315,72630,72378,5952,83,82,1619,802,58559
454	503	307,471,50,1438,750,1704,953,802,83,82
455	583	307,154,608,1200,750,665,1968,471,5952,83
456	594	123,83,82,1968,5952,110,1200,3949,364,1619
457	614	82,83,1619,802,471,2571,1704,5952,307,1200
458	35	82,83,1035,364,1619,1200,150,1653,6535,58559
459	677	106,246,16,74,307,83,82,1968,1200,364
460	739	802,82,83,2571,5952,1619,471,1704,123,1968
461	310	154,307,665,608,750,1968,82,83,1200,471
462	870	1968,82,83,1200,750,608,5952,471,1246,665
463	900	750,608,1968,83,82,665,471,364,307,154
464	742	82,83,1968,1246,364,750,610,1200,372,223
465	485	2805,82,83,74,1968,1246,58559,610,364,924
466	568	2692,527,471,58559,1619,307,337,1175,2571,802
467	698	1968,82,83,1200,608,750,74,665,154,480
468	838	82,83,364,307,62,750,1619,58559,1200,471
469	834	171,199,41,2028,1041,1,154,1968,608,1028
470	196	154,307,50,665,750,471,608,953,372,1200
471	456	1060,178,50,953,1203,802,318,914,141,1221
472	437	82,83,364,34,1968,1246,106,246,1200,750
473	829	858,82,83,1246,1619,364,1438,524,74,802
474	290	154,307,665,1968,471,83,82,1200,750,296
475	800	1566,364,83,82,1257,1291,1246,446,337,6535
476	441	123,1200,1968,750,1246,110,106,145,83,82
477	733	1246,2028,364,2333,2070,608,199,750,968,899
478	884	110,123,82,83,1704,1619,293,471,141,1968
479	986	171,364,83,82,1028,2028,2070,2333,236,101
480	217	106,246,1968,74,307,83,82,1200,16,750
481	948	74,171,41,34,1968,364,82,83,36,1246
482	960	106,246,16,1968,307,83,82,1200,364,471
483	823	6,337,345,1246,112,41,1968,858,750,83
484	326	1619,307,83,82,471,802,1704,1438,364,2571
485	766	83,82,307,364,750,471,908,337,1200,223
486	307	82,83,123,1968,610,1246,364,1200,58559,541
487	537	83,82,750,665,924,364,1200,141,307,1968
488	229	171,41,199,364,1968,750,608,2028,337,223
489	220	5952,1210,733,260,3949,83,82,1286,2571,58559
490	810	318,914,802,1213,2571,3578,1221,1961,1265,1619
491	890	82,83,750,924,1968,1200,364,610,665,307
492	301	665,924,750,41,32,154,83,82,364,608
493	173	82,83,364,1619,1968,5952,750,1200,610,141
494	713	750,82,83,665,1200,1968,924,307,364,141
495	813	1619,1193,802,2571,194,471,5952,914,1438,58559
496	114	154,665,296,307,371,778,1017,1968,224,227
497	494	82,83,364,588,610,223,5952,1246,750,141
498	278	106,246,16,74,307,82,83,1968,1200,364
499	669	82,83,307,471,750,1619,364,1438,1200,2571
500	4	83,82,750,1200,1968,1619,364,307,58559,5952
501	684	82,83,1246,1968,610,1079,1200,58559,849,223
502	55	665,73,83,82,924,750,1619,364,74,5952
503	445	82,83,364,1619,5952,2571,1200,750,1968,471
504	59	750,1200,83,82,1438,1246,1136,1968,307,372
505	100	307,665,26,471,750,154,912,1438,83,82
506	450	74,924,750,665,307,82,83,1968,41,1041
507	930	1246,82,83,1968,1619,1200,307,1438,802,1704
508	241	307,1619,471,802,83,82,1438,2571,337,750
509	495	471,1619,364,307,2692,802,82,83,527,2571
510	717	750,5952,608,1210,82,83,260,955,1200,1286
